dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,sys,sys_config,variable,1,varchar,128,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_unibus,bustimes,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_unibus,categories,type,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_unibus,flags,flags_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_unibus,stores,stores_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_unibus,traintimes,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,posts,pos_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,addresses,add_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,coregs,reg_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,districts,district_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,individuals,ind_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,oilinks,oil_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,titles,title_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,towns,town_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,groups,grp_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,news,new_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,newstypes,ntypes_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
