dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,sys,sys_config,variable,1,varchar,128,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_unibus,bustimes,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_unibus,categories,type,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_unibus,flags,flags_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_unibus,stores,stores_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_unibus,traintimes,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,comments,com_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,comments,com_id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,peakacti_local_pages,comments,com_thread_id,7,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,peakacti_local_pages,announcements,ann_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,orgindlinks,oil_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,orgindlinks,oil_org_id,2,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,peakacti_local_pages,orgindlinks,oil_ind_id,3,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,peakacti_local_pages,orgindlinks,oil_org_id,2,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,peakacti_local_pages,orgindlinks,oil_ind_id,3,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,peakacti_local_pages,employments,emp_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,peakacti_local_pages,jobs,job_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
